w201912161530:1815.8365478515625, 201912161535:1819.7308959960938, 201912161540:1823.625244140625, 201912161545:1827.5195617675781, 201912161550:1831.4139099121094, 201912161555:1835.3082580566406, 201912161600:1865.1818542480469, 201912161605:1869.076171875, 201912161610:1872.9705200195312, 201912161615:1876.8648681640625, 201912161620:1880.7592163085938, 201912161625:1884.653564453125,
202001051505:2073.2407989501953, 202001051510:2076.3970794677734, 202001051515:2079.5533752441406, 202001051520:2082.709671020508, 202001051525:2085.865966796875, 202001051530:2089.022247314453, 202001051535:2092.1785430908203, 202001051540:2095.3348388671875, 202001051545:2098.4911346435547, 202001051550:2101.647415161133, 202001051555:2104.8037109375, 202001051600:2149.605941772461, 
202001051510:2074.582000732422, 202001051515:2078.5806884765625, 202001051520:2082.579345703125, 202001051525:2086.5780334472656, 202001051530:2090.5767211914062, 202001051535:2094.575408935547, 202001051540:2098.5740661621094, 202001051545:2102.57275390625, 202001051550:2106.5714416503906, 202001051555:2110.5701293945312, 202001051600:2146.682586669922, 202001051605:2150.6812438964844, 
202001051515:2069.5533447265625, 202001051520:2075.213134765625, 202001051525:2080.8728942871094, 202001051530:2086.5326538085938, 202001051535:2092.192413330078, 202001051540:2097.8521728515625, 202001051545:2103.511962890625, 202001051550:2109.1717224121094, 202001051555:2114.8314819335938, 202001051600:2131.9816284179688, 202001051605:2137.641387939453, 202001051610:2143.3011779785156, 
202001051520:2089.328887939453, 202001051525:2094.6681213378906, 202001051530:2100.007354736328, 202001051535:2105.3466186523438, 202001051540:2110.6858520507812, 202001051545:2116.0250854492188, 202001051550:2121.3643188476562, 202001051555:2126.703582763672, 202001051600:2147.0969848632812, 202001051605:2152.4362182617188, 202001051610:2157.7754516601562, 202001051615:2163.1146850585938, 
202001051525:2086.654083251953, 202001051530:2092.0843505859375, 202001051535:2097.514617919922, 202001051540:2102.9448852539062, 202001051545:2108.3751525878906, 202001051550:2113.805419921875, 202001051555:2119.2356872558594, 202001051600:2139.4236755371094, 202001051605:2144.8539428710938, 202001051610:2150.284210205078, 202001051615:2155.7144775390625, 202001051620:2161.144744873047, 
202001051530:2087.474090576172, 202001051535:2092.0238342285156, 202001051540:2096.5736083984375, 202001051545:2101.1233520507812, 202001051550:2105.673126220703, 202001051555:2110.222869873047, 202001051600:2140.1953735351562, 202001051605:2144.7451171875, 202001051610:2149.294891357422, 202001051615:2153.8446350097656, 202001051620:2158.3944091796875, 202001051625:2162.9441528320312, 
202001051535:2080.5760192871094, 202001051540:2085.149658203125, 202001051545:2089.7232971191406, 202001051550:2094.2969360351562, 202001051555:2098.870574951172, 202001051600:2128.5274963378906, 202001051605:2133.1011352539062, 202001051610:2137.674774169922, 202001051615:2142.2484130859375, 202001051620:2146.822052001953, 202001051625:2151.3956909179688, 202001051630:2155.9693298339844, 
202001051540:2088.4137268066406, 202001051545:2093.090789794922, 202001051550:2097.767852783203, 202001051555:2102.4448852539062, 202001051600:2130.3642578125, 202001051605:2135.0413208007812, 202001051610:2139.7183532714844, 202001051615:2144.3954162597656, 202001051620:2149.072479248047, 202001051625:2153.74951171875, 202001051630:2158.4265747070312, 202001051635:2163.1036376953125, 
202001051545:2106.8880310058594, 202001051550:2111.747772216797, 202001051555:2116.6075134277344, 202001051600:2143.449737548828, 202001051605:2148.3094787597656, 202001051610:2153.1692504882812, 202001051615:2158.0289916992188, 202001051620:2162.8887329101562, 202001051625:2167.7484741210938, 202001051630:2172.6082153320312, 202001051635:2177.4679565429688, 202001051640:2182.3276977539062, 
202001051550:2112.1715087890625, 202001051555:2116.9242248535156, 202001051600:2144.7406311035156, 202001051605:2149.4933471679688, 202001051610:2154.24609375, 202001051615:2158.998809814453, 202001051620:2163.7515563964844, 202001051625:2168.5042724609375, 202001051630:2173.2569885253906, 202001051635:2178.009735107422, 202001051640:2182.762451171875, 202001051645:2187.5151977539062, 
202001051555:2121.21044921875, 202001051600:2146.5639038085938, 202001051605:2151.6048583984375, 202001051610:2156.6458435058594, 202001051615:2161.686798095703, 202001051620:2166.727783203125, 202001051625:2171.7687377929688, 202001051630:2176.8097229003906, 202001051635:2181.8506774902344, 202001051640:2186.8916625976562, 202001051645:2191.932647705078, 202001051650:2196.973602294922, 
202001051600:2142.4912719726562, 202001051605:2147.8779296875, 202001051610:2153.2645874023438, 202001051615:2158.6512451171875, 202001051620:2164.0379028320312, 202001051625:2169.424560546875, 202001051630:2174.8112182617188, 202001051635:2180.1978759765625, 202001051640:2185.5845336914062, 202001051645:2190.97119140625, 202001051650:2196.3578186035156, 202001051655:2201.7444763183594, 
202001051605:2135.6913146972656, 202001051610:2140.5377502441406, 202001051615:2145.3841552734375, 202001051620:2150.2305908203125, 202001051625:2155.0770263671875, 202001051630:2159.9234619140625, 202001051635:2164.7698974609375, 202001051640:2169.6163024902344, 202001051645:2174.4627380371094, 202001051650:2179.3091735839844, 202001051655:2184.1556091308594, 202001051700:2210.5416870117188, 
202001051610:2148.75048828125, 202001051615:2153.5877685546875, 202001051620:2158.425048828125, 202001051625:2163.2623291015625, 202001051630:2168.099609375, 202001051635:2172.9369201660156, 202001051640:2177.774200439453, 202001051645:2182.6114807128906, 202001051650:2187.448760986328, 202001051655:2192.2860412597656, 202001051700:2218.612030029297, 202001051705:2223.4493408203125, 
202001051615:2142.9191284179688, 202001051620:2148.3108520507812, 202001051625:2153.7025756835938, 202001051630:2159.094268798828, 202001051635:2164.4859924316406, 202001051640:2169.877716064453, 202001051645:2175.2694396972656, 202001051650:2180.661163330078, 202001051655:2186.0528869628906, 202001051700:2205.1361083984375, 202001051705:2210.52783203125, 202001051710:2215.9195556640625, 
202001051620:2161.531982421875, 202001051625:2166.5433654785156, 202001051630:2171.5547485351562, 202001051635:2176.566131591797, 202001051640:2181.5775146484375, 202001051645:2186.588897705078, 202001051650:2191.6002807617188, 202001051655:2196.6116638183594, 202001051700:2221.4229736328125, 202001051705:2226.434356689453, 202001051710:2231.4457397460938, 202001051715:2236.4571228027344, 
202001051625:2163.628631591797, 202001051630:2170.159423828125, 202001051635:2176.6902465820312, 202001051640:2183.2210388183594, 202001051645:2189.7518310546875, 202001051650:2196.2826232910156, 202001051655:2202.813446044922, 202001051700:2210.5986938476562, 202001051705:2217.1294860839844, 202001051710:2223.6602783203125, 202001051715:2230.1911010742188, 202001051720:2236.721893310547, 
202001051630:2165.1080017089844, 202001051635:2169.5896911621094, 202001051640:2174.0713806152344, 202001051645:2178.5530395507812, 202001051650:2183.0347290039062, 202001051655:2187.5164184570312, 202001051700:2218.1883239746094, 202001051705:2222.6699829101562, 202001051710:2227.1516723632812, 202001051715:2231.6333618164062, 202001051720:2236.115020751953, 202001051725:2240.596710205078, 
202001051635:2165.549346923828, 202001051640:2170.796600341797, 202001051645:2176.0438537597656, 202001051650:2181.2911071777344, 202001051655:2186.538360595703, 202001051700:2208.1597290039062, 202001051705:2213.406982421875, 202001051710:2218.6542358398438, 202001051715:2223.9014892578125, 202001051720:2229.1487426757812, 202001051725:2234.39599609375, 202001051730:2239.6432495117188, 
202001051640:2171.6222229003906, 202001051645:2175.72705078125, 202001051650:2179.8318481445312, 202001051655:2183.9366760253906, 202001051700:2218.250244140625, 202001051705:2222.3550720214844, 202001051710:2226.4598999023438, 202001051715:2230.564697265625, 202001051720:2234.6695251464844, 202001051725:2238.7743530273438, 202001051730:2242.879150390625, 202001051735:2246.9839782714844, 
202001051645:2181.9846801757812, 202001051650:2187.3324584960938, 202001051655:2192.680206298828, 202001051700:2214.1106872558594, 202001051705:2219.4584350585938, 202001051710:2224.8062133789062, 202001051715:2230.1539916992188, 202001051720:2235.5017700195312, 202001051725:2240.8495483398438, 202001051730:2246.197296142578, 202001051735:2251.5450744628906, 202001051740:2256.892852783203, 
202001051650:2173.791229248047, 202001051655:2178.930206298828, 202001051700:2202.9332885742188, 202001051705:2208.072265625, 202001051710:2213.211212158203, 202001051715:2218.3501892089844, 202001051720:2223.4891357421875, 202001051725:2228.6281127929688, 202001051730:2233.767059326172, 202001051735:2238.906005859375, 202001051740:2244.0449829101562, 202001051745:2249.1839294433594, 
202001051655:2196.8532104492188, 202001051700:2217.456298828125, 202001051705:2222.8575134277344, 202001051710:2228.2586975097656, 202001051715:2233.659881591797, 202001051720:2239.061065673828, 202001051725:2244.4622802734375, 202001051730:2249.8634643554688, 202001051735:2255.2646484375, 202001051740:2260.6658630371094, 202001051745:2266.0670471191406, 202001051750:2271.468231201172, 
202001051700:2203.6719665527344, 202001051705:2209.062957763672, 202001051710:2214.4539489746094, 202001051715:2219.844940185547, 202001051720:2225.2359313964844, 202001051725:2230.626922607422, 202001051730:2236.0179138183594, 202001051735:2241.408905029297, 202001051740:2246.7998962402344, 202001051745:2252.190887451172, 202001051750:2257.5818786621094, 202001051755:2262.972869873047, 
202001051705:2230.0450439453125, 202001051710:2233.7882080078125, 202001051715:2237.5313720703125, 202001051720:2241.2745666503906, 202001051725:2245.0177307128906, 202001051730:2248.7608947753906, 202001051735:2252.5040893554688, 202001051740:2256.2472534179688, 202001051745:2259.9904174804688, 202001051750:2263.733612060547, 202001051755:2267.476776123047, 202001051800:2306.0119018554688, 
202001051710:2226.7899169921875, 202001051715:2231.2320861816406, 202001051720:2235.674285888672, 202001051725:2240.116455078125, 202001051730:2244.558624267578, 202001051735:2249.0008239746094, 202001051740:2253.4429931640625, 202001051745:2257.8851928710938, 202001051750:2262.327362060547, 202001051755:2266.76953125, 202001051800:2296.8885192871094, 202001051805:2301.3307189941406, 
202001051715:2222.7098999023438, 202001051720:2227.351318359375, 202001051725:2231.9927368164062, 202001051730:2236.6341552734375, 202001051735:2241.2755432128906, 202001051740:2245.916961669922, 202001051745:2250.558380126953, 202001051750:2255.1997985839844, 202001051755:2259.8412170410156, 202001051800:2288.486358642578, 202001051805:2293.1277770996094, 202001051810:2297.7691650390625, 
202001051720:2234.4048767089844, 202001051725:2239.348388671875, 202001051730:2244.2919006347656, 202001051735:2249.2354125976562, 202001051740:2254.1788940429688, 202001051745:2259.1224060058594, 202001051750:2264.06591796875, 202001051755:2269.0094299316406, 202001051800:2294.118194580078, 202001051805:2299.0617065429688, 202001051810:2304.0052185058594, 202001051815:2308.94873046875, 
202001051725:2226.657928466797, 202001051730:2231.5337829589844, 202001051735:2236.409637451172, 202001051740:2241.2854919433594, 202001051745:2246.161346435547, 202001051750:2251.0372314453125, 202001051755:2255.9130859375, 202001051800:2280.5599670410156, 202001051805:2285.435821533203, 202001051810:2290.3117065429688, 202001051815:2295.1875610351562, 202001051820:2300.0634155273438, 
202001051730:2250.120880126953, 202001051735:2255.5310668945312, 202001051740:2260.9412536621094, 202001051745:2266.3514404296875, 202001051750:2271.7616271972656, 202001051755:2277.1718139648438, 202001051800:2297.608612060547, 202001051805:2303.018798828125, 202001051810:2308.428985595703, 202001051815:2313.8391723632812, 202001051820:2319.2493591308594, 202001051825:2324.6595458984375, 
202001051735:2242.1763305664062, 202001051740:2247.4183959960938, 202001051745:2252.660430908203, 202001051750:2257.9024658203125, 202001051755:2263.144500732422, 202001051800:2285.3509826660156, 202001051805:2290.593048095703, 202001051810:2295.8350830078125, 202001051815:2301.077117919922, 202001051820:2306.3191528320312, 202001051825:2311.5612182617188, 202001051830:2316.803253173828, 
202001051740:2251.93798828125, 202001051745:2256.9056701660156, 202001051750:2261.8733825683594, 202001051755:2266.841064453125, 202001051800:2290.9051513671875, 202001051805:2295.872833251953, 202001051810:2300.840545654297, 202001051815:2305.8082275390625, 202001051820:2310.775909423828, 202001051825:2315.7435913085938, 202001051830:2320.7113037109375, 202001051835:2325.678985595703, 
202001051745:2255.6566772460938, 202001051750:2260.9366149902344, 202001051755:2266.216583251953, 202001051800:2287.8402099609375, 202001051805:2293.1201782226562, 202001051810:2298.400146484375, 202001051815:2303.6801147460938, 202001051820:2308.9600830078125, 202001051825:2314.2400512695312, 202001051830:2319.52001953125, 202001051835:2324.7999572753906, 202001051840:2330.0799255371094, 
202001051750:2257.645263671875, 202001051755:2262.224151611328, 202001051800:2291.9474487304688, 202001051805:2296.5263061523438, 202001051810:2301.105194091797, 202001051815:2305.68408203125, 202001051820:2310.262939453125, 202001051825:2314.841827392578, 202001051830:2319.420684814453, 202001051835:2323.9995727539062, 202001051840:2328.5784606933594, 202001051845:2333.1573181152344, 
202001051755:2255.840362548828, 202001051800:2295.12255859375, 202001051805:2298.7890014648438, 202001051810:2302.4554138183594, 202001051815:2306.121826171875, 202001051820:2309.7882690429688, 202001051825:2313.4546813964844, 202001051830:2317.12109375, 202001051835:2320.7875366210938, 202001051840:2324.4539489746094, 202001051845:2328.120361328125, 202001051850:2331.7868041992188, 
202001051800:2290.968505859375, 202001051805:2295.179229736328, 202001051810:2299.3899536132812, 202001051815:2303.6006774902344, 202001051820:2307.8114013671875, 202001051825:2312.0221252441406, 202001051830:2316.2328491210938, 202001051835:2320.443572998047, 202001051840:2324.654296875, 202001051845:2328.865020751953, 202001051850:2333.0757446289062, 202001051855:2337.2864685058594, 
202001051805:2297.3067321777344, 202001051810:2302.0685424804688, 202001051815:2306.830352783203, 202001051820:2311.5921630859375, 202001051825:2316.3539428710938, 202001051830:2321.115753173828, 202001051835:2325.8775634765625, 202001051840:2330.639373779297, 202001051845:2335.4011840820312, 202001051850:2340.1629943847656, 202001051855:2344.924774169922, 202001051900:2372.9149475097656, 
202001051810:2302.2129516601562, 202001051815:2307.255645751953, 202001051820:2312.298309326172, 202001051825:2317.3410034179688, 202001051830:2322.3836975097656, 202001051835:2327.4263610839844, 202001051840:2332.4690551757812, 202001051845:2337.51171875, 202001051850:2342.554412841797, 202001051855:2347.5971069335938, 202001051900:2371.4541015625, 202001051905:2376.496795654297, 
202001051815:2299.6422729492188, 202001051820:2305.1463623046875, 202001051825:2310.6504516601562, 202001051830:2316.154571533203, 202001051835:2321.658660888672, 202001051840:2327.1627502441406, 202001051845:2332.6668395996094, 202001051850:2338.170928955078, 202001051855:2343.675018310547, 202001051900:2363.133819580078, 202001051905:2368.637939453125, 202001051910:2374.1420288085938, 
202001051820:2302.825164794922, 202001051825:2307.98583984375, 202001051830:2313.146484375, 202001051835:2318.307159423828, 202001051840:2323.467803955078, 202001051845:2328.6284790039062, 202001051850:2333.7891235351562, 202001051855:2338.9497985839844, 202001051900:2361.7339782714844, 202001051905:2366.8946228027344, 202001051910:2372.0552978515625, 202001051915:2377.2159423828125, 
202001051825:2309.2279357910156, 202001051830:2312.4292755126953, 202001051835:2315.630615234375, 202001051840:2318.8319549560547, 202001051845:2322.0332946777344, 202001051850:2325.234634399414, 202001051855:2328.4359741210938, 202001051900:2372.512939453125, 202001051905:2375.7142791748047, 202001051910:2378.9156188964844, 202001051915:2382.116958618164, 202001051920:2385.3182983398438, 
202001051830:2312.972869873047, 202001051835:2318.7740478515625, 202001051840:2324.5752563476562, 202001051845:2330.376434326172, 202001051850:2336.1776123046875, 202001051855:2341.978790283203, 202001051900:2357.50439453125, 202001051905:2363.3056030273438, 202001051910:2369.1067810058594, 202001051915:2374.907958984375, 202001051920:2380.7091369628906, 202001051925:2386.5103454589844, 
202001051835:2313.0625610351562, 202001051840:2317.684783935547, 202001051845:2322.3070373535156, 202001051850:2326.9292602539062, 202001051855:2331.551483154297, 202001051900:2359.3856811523438, 202001051905:2364.0079345703125, 202001051910:2368.630157470703, 202001051915:2373.2523803710938, 202001051920:2377.8746337890625, 202001051925:2382.496856689453, 202001051930:2387.1190795898438, 
202001051840:2329.7845153808594, 202001051845:2335.334228515625, 202001051850:2340.8839111328125, 202001051855:2346.43359375, 202001051900:2364.865997314453, 202001051905:2370.4156799316406, 202001051910:2375.9653930664062, 202001051915:2381.5150756835938, 202001051920:2387.0647583007812, 202001051925:2392.6144409179688, 202001051930:2398.1641540527344, 202001051935:2403.713836669922, 
202001051845:2326.5480041503906, 202001051850:2331.262481689453, 202001051855:2335.9769897460938, 202001051900:2363.6537475585938, 202001051905:2368.3682556152344, 202001051910:2373.082733154297, 202001051915:2377.7972412109375, 202001051920:2382.51171875, 202001051925:2387.2262268066406, 202001051930:2391.940704345703, 202001051935:2396.6551818847656, 202001051940:2401.3696899414062, 
202001051850:2332.401092529297, 202001051855:2337.705596923828, 202001051900:2359.125213623047, 202001051905:2364.429718017578, 202001051910:2369.7342224121094, 202001051915:2375.0387268066406, 202001051920:2380.343231201172, 202001051925:2385.647735595703, 202001051930:2390.9522399902344, 202001051935:2396.2567443847656, 202001051940:2401.561279296875, 202001051945:2406.8657836914062, 
202001051855:2333.0878295898438, 202001051900:2369.386016845703, 202001051905:2373.3783569335938, 202001051910:2377.3706970214844, 202001051915:2381.363037109375, 202001051920:2385.3554077148438, 202001051925:2389.3477478027344, 202001051930:2393.340087890625, 202001051935:2397.3324279785156, 202001051940:2401.3247680664062, 202001051945:2405.317108154297, 202001051950:2409.3094482421875, 
202001051900:2366.5963134765625, 202001051905:2371.7581176757812, 202001051910:2376.919891357422, 202001051915:2382.0816955566406, 202001051920:2387.2434692382812, 202001051925:2392.4052734375, 202001051930:2397.5670471191406, 202001051935:2402.7288513183594, 202001051940:2407.890625, 202001051945:2413.0524291992188, 202001051950:2418.2142333984375, 202001051955:2423.376007080078, 
202001051905:2360.332275390625, 202001051910:2365.7775268554688, 202001051915:2371.2227783203125, 202001051920:2376.6680297851562, 202001051925:2382.11328125, 202001051930:2387.5585327148438, 202001051935:2393.0037841796875, 202001051940:2398.4490356445312, 202001051945:2403.894287109375, 202001051950:2409.3395080566406, 202001051955:2414.7847595214844, 202001052000:2434.7346801757812, 
202001051910:2372.4147033691406, 202001051915:2377.0040588378906, 202001051920:2381.5934143066406, 202001051925:2386.1827697753906, 202001051930:2390.7721252441406, 202001051935:2395.3614807128906, 202001051940:2399.9508361816406, 202001051945:2404.5401916503906, 202001051950:2409.1295471191406, 202001051955:2413.7189025878906, 202001052000:2441.9973754882812, 202001052005:2446.586700439453, 
202001051915:2375.817352294922, 202001051920:2380.346649169922, 202001051925:2384.8759155273438, 202001051930:2389.4051818847656, 202001051935:2393.9344787597656, 202001051940:2398.4637451171875, 202001051945:2402.9930114746094, 202001051950:2407.5223083496094, 202001051955:2412.0515747070312, 202001052000:2442.0215759277344, 202001052005:2446.5508728027344, 202001052010:2451.0801391601562, 
202001051920:2385.6136779785156, 202001051925:2390.7269592285156, 202001051930:2395.8402404785156, 202001051935:2400.9535217285156, 202001051940:2406.0668029785156, 202001051945:2411.1800842285156, 202001051950:2416.2933654785156, 202001051955:2421.4066467285156, 202001052000:2444.5813598632812, 202001052005:2449.6946411132812, 202001052010:2454.8079223632812, 202001052015:2459.9212036132812, 
202001051925:2394.570526123047, 202001051930:2400.1985778808594, 202001051935:2405.826629638672, 202001051940:2411.4546813964844, 202001051945:2417.082763671875, 202001051950:2422.7108154296875, 202001051955:2428.3388671875, 202001052000:2445.7020568847656, 202001052005:2451.330108642578, 202001052010:2456.9581604003906, 202001052015:2462.586212158203, 202001052020:2468.2142944335938, 
202001051930:2384.2232055664062, 202001051935:2389.0130310058594, 202001051940:2393.8028564453125, 202001051945:2398.5926513671875, 202001051950:2403.3824768066406, 202001051955:2408.1723022460938, 202001052000:2434.6135864257812, 202001052005:2439.4034118652344, 202001052010:2444.1932373046875, 202001052015:2448.9830627441406, 202001052020:2453.7728576660156, 202001052025:2458.5626831054688, 
202001051935:2388.8624877929688, 202001051940:2393.5291442871094, 202001051945:2398.195831298828, 202001051950:2402.8624877929688, 202001051955:2407.5291442871094, 202001052000:2434.891845703125, 202001052005:2439.5585021972656, 202001052010:2444.2251586914062, 202001052015:2448.891845703125, 202001052020:2453.5585021972656, 202001052025:2458.2251586914062, 202001052030:2462.891845703125, 
202001051940:2394.1885375976562, 202001051945:2399.150177001953, 202001051950:2404.11181640625, 202001051955:2409.073455810547, 202001052000:2433.5601196289062, 202001052005:2438.521759033203, 202001052010:2443.4833984375, 202001052015:2448.4450073242188, 202001052020:2453.4066467285156, 202001052025:2458.3682861328125, 202001052030:2463.3299255371094, 202001052035:2468.2915649414062, 
202001051945:2418.3834533691406, 202001051950:2424.4124755859375, 202001051955:2430.4414672851562, 202001052000:2444.303497314453, 202001052005:2450.33251953125, 202001052010:2456.3615112304688, 202001052015:2462.3905334472656, 202001052020:2468.4195251464844, 202001052025:2474.4485473632812, 202001052030:2480.4775390625, 202001052035:2486.5065307617188, 202001052040:2492.5355529785156, 
202001051950:2418.9129333496094, 202001051955:2424.3746337890625, 202001052000:2444.4779663085938, 202001052005:2449.939666748047, 202001052010:2455.4013671875, 202001052015:2460.863067626953, 202001052020:2466.3247680664062, 202001052025:2471.7864990234375, 202001052030:2477.2481994628906, 202001052035:2482.7098999023438, 202001052040:2488.171600341797, 202001052045:2493.63330078125, 
202001051955:2421.2548828125, 202001052000:2440.188232421875, 202001052005:2445.7388305664062, 202001052010:2451.2894287109375, 202001052015:2456.8399963378906, 202001052020:2462.390594482422, 202001052025:2467.941192626953, 202001052030:2473.4917907714844, 202001052035:2479.0423889160156, 202001052040:2484.592987060547, 202001052045:2490.143585205078, 202001052050:2495.6941833496094, 
202001052000:2458.861358642578, 202001052005:2463.26806640625, 202001052010:2467.6748046875, 202001052015:2472.08154296875, 202001052020:2476.488250732422, 202001052025:2480.894989013672, 202001052030:2485.301727294922, 202001052035:2489.7084350585938, 202001052040:2494.1151733398438, 202001052045:2498.5218811035156, 202001052050:2502.9286193847656, 202001052055:2507.3353576660156, 
202001052005:2443.6639404296875, 202001052010:2447.9362182617188, 202001052015:2452.20849609375, 202001052020:2456.4807739257812, 202001052025:2460.7530517578125, 202001052030:2465.0253295898438, 202001052035:2469.297607421875, 202001052040:2473.5698852539062, 202001052045:2477.8421630859375, 202001052050:2482.114471435547, 202001052055:2486.386749267578, 202001052100:2518.827362060547, 
202001052010:2450.3113708496094, 202001052015:2454.9164123535156, 202001052020:2459.5214233398438, 202001052025:2464.126434326172, 202001052030:2468.7314453125, 202001052035:2473.336456298828, 202001052040:2477.9414672851562, 202001052045:2482.5464782714844, 202001052050:2487.1515197753906, 202001052055:2491.7565307617188, 202001052100:2521.0130004882812, 202001052105:2525.6180114746094, 
202001052015:2461.385772705078, 202001052020:2466.367431640625, 202001052025:2471.349090576172, 202001052030:2476.330780029297, 202001052035:2481.3124389648438, 202001052040:2486.2941284179688, 202001052045:2491.2757873535156, 202001052050:2496.2574462890625, 202001052055:2501.2391357421875, 202001052100:2527.0169982910156, 202001052105:2531.9986572265625, 202001052110:2536.9803161621094, 
202001052020:2459.9071044921875, 202001052025:2465.1422729492188, 202001052030:2470.377410888672, 202001052035:2475.612579345703, 202001052040:2480.8477478027344, 202001052045:2486.0829162597656, 202001052050:2491.3180541992188, 202001052055:2496.55322265625, 202001052100:2518.2649841308594, 202001052105:2523.5001525878906, 202001052110:2528.735321044922, 202001052115:2533.970489501953, 
202001052025:2478.153106689453, 202001052030:2483.1731567382812, 202001052035:2488.1932067871094, 202001052040:2493.2132568359375, 202001052045:2498.2333068847656, 202001052050:2503.2533569335938, 202001052055:2508.2734375, 202001052100:2533.374786376953, 202001052105:2538.3948669433594, 202001052110:2543.4149169921875, 202001052115:2548.4349670410156, 202001052120:2553.4550170898438, 
202001052030:2469.119171142578, 202001052035:2474.515411376953, 202001052040:2479.9116821289062, 202001052045:2485.3079528808594, 202001052050:2490.7042236328125, 202001052055:2496.1004943847656, 202001052100:2515.8318786621094, 202001052105:2521.2281494140625, 202001052110:2526.6243896484375, 202001052115:2532.0206604003906, 202001052120:2537.4169311523438, 202001052125:2542.813201904297, 
202001052035:2483.102813720703, 202001052040:2488.2815856933594, 202001052045:2493.4603881835938, 202001052050:2498.63916015625, 202001052055:2503.8179626464844, 202001052100:2527.088897705078, 202001052105:2532.2676696777344, 202001052110:2537.4464721679688, 202001052115:2542.625244140625, 202001052120:2547.8040466308594, 202001052125:2552.9828186035156, 202001052130:2558.16162109375, 
202001052040:2490.6861877441406, 202001052045:2495.5782470703125, 202001052050:2500.4702758789062, 202001052055:2505.362335205078, 202001052100:2530.9314880371094, 202001052105:2535.823516845703, 202001052110:2540.715576171875, 202001052115:2545.607635498047, 202001052120:2550.4996643066406, 202001052125:2555.3917236328125, 202001052130:2560.2837524414062, 202001052135:2565.175811767578, 
202001052045:2493.656707763672, 202001052050:2497.7550659179688, 202001052055:2501.8533935546875, 202001052100:2536.1878662109375, 202001052105:2540.2862243652344, 202001052110:2544.384552001953, 202001052115:2548.482879638672, 202001052120:2552.5812377929688, 202001052125:2556.6795654296875, 202001052130:2560.7778930664062, 202001052135:2564.876220703125, 202001052140:2568.974578857422, 
202001052050:2510.3568420410156, 202001052055:2515.5731811523438, 202001052100:2539.1025390625, 202001052105:2544.31884765625, 202001052110:2549.53515625, 202001052115:2554.75146484375, 202001052120:2559.967803955078, 202001052125:2565.184112548828, 202001052130:2570.400421142578, 202001052135:2575.616729736328, 202001052140:2580.8330688476562, 202001052145:2586.0493774414062, 
202001052055:2502.929473876953, 202001052100:2527.3394470214844, 202001052105:2532.3843688964844, 202001052110:2537.4292602539062, 202001052115:2542.4741821289062, 202001052120:2547.5191040039062, 202001052125:2552.563995361328, 202001052130:2557.608917236328, 202001052135:2562.653839111328, 202001052140:2567.69873046875, 202001052145:2572.74365234375, 202001052150:2577.788543701172, 
202001052100:2528.13427734375, 202001052105:2532.945587158203, 202001052110:2537.7569274902344, 202001052115:2542.5682678222656, 202001052120:2547.3795776367188, 202001052125:2552.19091796875, 202001052130:2557.002227783203, 202001052135:2561.8135681152344, 202001052140:2566.6249084472656, 202001052145:2571.4362182617188, 202001052150:2576.24755859375, 202001052155:2581.058868408203, 
202001052105:2528.1270751953125, 202001052110:2533.1112060546875, 202001052115:2538.0953063964844, 202001052120:2543.0794372558594, 202001052125:2548.0635375976562, 202001052130:2553.0476684570312, 202001052135:2558.031768798828, 202001052140:2563.015899658203, 202001052145:2568.0, 202001052150:2572.984130859375, 202001052155:2577.968231201172, 202001052200:2602.902587890625, 
202001052110:2549.1776123046875, 202001052115:2553.211883544922, 202001052120:2557.2461547851562, 202001052125:2561.2804260253906, 202001052130:2565.314697265625, 202001052135:2569.3489685058594, 202001052140:2573.3832092285156, 202001052145:2577.41748046875, 202001052150:2581.4517517089844, 202001052155:2585.4860229492188, 202001052200:2620.2740173339844, 202001052205:2624.3082885742188, 
202001052115:2540.6258544921875, 202001052120:2546.4810791015625, 202001052125:2552.3363342285156, 202001052130:2558.1915588378906, 202001052135:2564.0468139648438, 202001052140:2569.9020385742188, 202001052145:2575.7572631835938, 202001052150:2581.612518310547, 202001052155:2587.467742919922, 202001052200:2602.784393310547, 202001052205:2608.639617919922, 202001052210:2614.494873046875, 
202001052120:2547.6441650390625, 202001052125:2552.1348571777344, 202001052130:2556.6255493164062, 202001052135:2561.1162719726562, 202001052140:2565.606964111328, 202001052145:2570.09765625, 202001052150:2574.588348388672, 202001052155:2579.079071044922, 202001052200:2609.0712890625, 202001052205:2613.561981201172, 202001052210:2618.0526733398438, 202001052215:2622.5433654785156, 
202001052125:2553.0980224609375, 202001052130:2558.0120544433594, 202001052135:2562.9260864257812, 202001052140:2567.8401489257812, 202001052145:2572.754180908203, 202001052150:2577.668212890625, 202001052155:2582.582244873047, 202001052200:2607.875732421875, 202001052205:2612.789764404297, 202001052210:2617.7037963867188, 202001052215:2622.6178283691406, 202001052220:2627.5318908691406, 
202001052130:2562.203125, 202001052135:2567.321746826172, 202001052140:2572.440399169922, 202001052145:2577.559051513672, 202001052150:2582.677703857422, 202001052155:2587.796356201172, 202001052200:2611.9491577148438, 202001052205:2617.0678100585938, 202001052210:2622.1864318847656, 202001052215:2627.3050842285156, 202001052220:2632.4237365722656, 202001052225:2637.5423889160156, 
